msisdn_crypte,Recency,Frequency,Monetary,Tenure_Months,Nb_Offers_Distinctes,Main_Offer,R_score,F_score,M_score,RFM_Score,RFM_Total,RFM_Weighted,Segment,Segment_Avance,Valeur,Life_Time,Montant_Moyen_Par_Achat,Frequency_Par_Mois,Monetary_Par_Mois,Cluster_KMeans,Churned,Churn_Proba,PC1,PC2
DEMO_00052,90,1,14.78,11.3,3,Demo Start,1,1,1,111,3,1.0,Client à risque,Clients hibernants,Faible valeur,11.7,14.78,0.088,1.31,1,1,0.6341,-3.2939,-0.0768
DEMO_00053,62,3,21.17,11.2,1,Demo Max,1,2,2,122,5,1.8,Client à risque,Clients hibernants,Faible valeur,13.7,7.06,0.269,1.9,1,1,0.6173,-1.4482,-1.3162
DEMO_00054,15,4,8.79,37.8,1,Demo Flex,4,2,1,421,7,1.9,Client moyen,Clients prometteurs,Faible valeur,39.9,2.2,0.106,0.23,3,0,0.2946,-1.7032,0.9762
DEMO_00055,64,8,114.01,29.9,1,Demo Plus,1,5,5,155,11,4.2,Client moyen,Ne doit pas les perdre,Forte valeur,34.7,14.25,0.268,3.82,1,0,0.1424,-0.2882,-0.7762
DEMO_00056,3,2,11.28,14.8,2,Demo Max,5,1,1,511,7,1.8,Client moyen,Clients prometteurs,Faible valeur,14.7,5.64,0.135,0.76,3,0,0.0371,-1.2486,0.4377
DEMO_00057,21,7,90.27,23.8,3,Demo Start,3,4,4,344,11,3.8,Client fidèle,Clients fidèles,Forte valeur,23.2,12.9,0.294,3.8,0,0,0.1147,0.7769,-0.1589
DEMO_00058,29,4,85.83,26.4,1,Demo Connect,2,2,4,224,8,3.0,Client à risque,Clients hibernants,Forte valeur,23.8,21.46,0.152,3.26,3,0,0.1739,0.0599,-0.0462
DEMO_00059,16,7,70.47,56.3,1,Demo Start,4,4,4,444,12,4.0,Champion,Champions,Forte valeur,57.7,10.07,0.124,1.25,0,0,0.0726,-0.1453,1.6965
DEMO_00060,15,1,17.25,10.5,2,Demo Start,4,1,1,411,6,1.6,Client moyen,Clients prometteurs,Faible valeur,10.7,17.25,0.095,1.64,3,0,0.1802,-1.4883,-0.1153
DEMO_00061,27,3,32.56,26.1,2,Demo Plus,3,2,2,322,7,2.2,Client moyen,Clients à développer,Valeur moyenne,27.4,10.85,0.115,1.25,3,0,0.1286,-0.6338,0.8474
DEMO_00062,69,4,95.52,37.7,2,Demo Flex,1,2,5,125,8,3.3,Client à risque,Clients hibernants,Forte valeur,35.4,23.88,0.106,2.53,1,0,0.2373,-0.5241,0.7226
DEMO_00063,78,11,61.17,52.6,1,Demo Flex,1,5,4,154,10,3.7,Client moyen,Ne doit pas les perdre,Valeur moyenne,53.3,5.56,0.209,1.16,1,0,0.2389,0.4394,0.7463
DEMO_00064,14,6,59.58,14.3,2,Demo Start,4,3,4,434,11,3.7,Client fidèle,Clients à risque,Valeur moyenne,14.7,9.93,0.419,4.16,2,0,0.1006,1.1462,-0.718
DEMO_00065,14,2,28.89,17.3,3,Demo Start,4,1,2,412,7,2.1,Client moyen,Clients prometteurs,Faible valeur,17.6,14.44,0.116,1.67,3,0,0.1656,-0.4076,0.0595
DEMO_00066,40,4,35.93,33.6,1,Demo Flex,2,2,2,222,6,2.0,Client à risque,Clients hibernants,Valeur moyenne,32.3,8.98,0.119,1.07,1,0,0.1444,-0.2171,1.2626
DEMO_00067,40,3,56.39,7.0,1,Demo Plus,2,2,4,224,8,3.0,Client à risque,Clients hibernants,Valeur moyenne,9.3,18.8,0.432,8.11,1,0,0.1991,0.0249,-0.8609
DEMO_00068,58,7,55.05,27.7,1,Demo Start,1,4,3,143,8,2.9,Client moyen,Ne doit pas les perdre,Valeur moyenne,31.8,7.86,0.253,1.99,1,1,0.2942,-0.4115,0.2213
DEMO_00069,59,11,342.42,68.0,1,Demo Connect,1,5,5,155,11,4.2,Client moyen,Ne doit pas les perdre,Forte valeur,65.8,31.13,0.162,5.04,1,0,0.1592,2.2685,0.9972
DEMO_00070,10,6,192.28,29.5,2,Demo Start,5,3,5,535,13,4.4,Client fidèle,Clients à risque,Forte valeur,30.9,32.05,0.203,6.52,0,0,0.1356,2.0623,-0.8199
DEMO_00071,5,1,11.65,3.3,1,Demo Max,5,1,1,511,7,1.8,Client moyen,Clients prometteurs,Faible valeur,1.0,11.65,0.3,3.49,3,0,0.0797,-1.4564,-0.511
DEMO_00072,36,7,94.62,12.5,1,Demo Plus,2,4,5,245,11,4.1,Client moyen,Ne doit pas les perdre,Forte valeur,13.8,13.52,0.56,7.57,1,0,0.1142,0.5224,-0.6064
DEMO_00073,27,3,57.63,14.6,1,Demo Flex,3,2,4,324,9,3.2,Client moyen,Clients à développer,Valeur moyenne,10.9,19.21,0.205,3.94,3,0,0.1774,0.0803,-0.3291
DEMO_00074,4,10,51.92,42.8,3,Demo Flex,5,5,3,553,13,4.0,Client fidèle,Champions,Valeur moyenne,41.8,5.19,0.234,1.21,2,0,0.0732,0.8693,-0.3433
DEMO_00075,35,5,24.24,20.4,2,Demo Plus,2,3,2,232,7,2.3,Client moyen,Clients à risque,Faible valeur,17.7,4.85,0.246,1.19,3,0,0.1203,-1.0122,-0.076
DEMO_00076,21,1,19.91,5.6,1,Demo Max,3,1,1,311,5,1.4,Client moyen,Clients à développer,Faible valeur,5.2,19.91,0.177,3.53,3,0,0.2619,-1.4114,-0.3778
DEMO_00077,36,4,46.39,21.9,2,Demo Connect,2,2,3,223,7,2.5,Client à risque,Clients hibernants,Valeur moyenne,23.5,11.6,0.183,2.12,3,1,0.3312,-0.1166,-0.4448
DEMO_00078,8,6,52.84,24.7,1,Demo Flex,5,3,3,533,11,3.4,Client fidèle,Clients à risque,Valeur moyenne,21.0,8.81,0.243,2.14,2,0,0.0659,0.7549,-0.721
DEMO_00079,37,3,30.11,15.9,3,Demo Plus,2,2,2,222,6,2.0,Client à risque,Clients hibernants,Faible valeur,15.2,10.04,0.188,1.89,1,0,0.3204,-0.47,-0.3329
DEMO_00080,30,5,13.42,11.0,2,Demo Plus,2,3,1,231,6,1.8,Client moyen,Clients à risque,Faible valeur,10.0,2.68,0.454,1.22,3,0,0.0626,-1.3359,-0.3502
DEMO_00081,40,18,161.67,72.0,1,Demo Connect,2,5,5,255,12,4.4,Client moyen,Ne doit pas les perdre,Forte valeur,72.0,8.98,0.25,2.25,1,0,0.1534,2.6521,1.0764
DEMO_00082,15,7,46.14,37.8,4,Demo Start,4,4,3,443,11,3.5,Client fidèle,Champions,Valeur moyenne,38.6,6.59,0.185,1.22,2,0,0.0618,0.7768,-0.0025
DEMO_00083,12,4,66.1,39.8,1,Demo Start,4,2,4,424,10,3.4,Client moyen,Clients prometteurs,Forte valeur,37.4,16.53,0.101,1.66,3,0,0.1292,0.1725,0.8438
DEMO_00084,5,3,51.72,20.4,2,Demo Start,5,2,3,523,10,3.1,Client moyen,Clients prometteurs,Valeur moyenne,19.4,17.24,0.147,2.54,3,0,0.061,0.0067,0.3848
DEMO_00085,18,4,54.79,14.2,1,Demo Flex,4,2,3,423,9,2.9,Client moyen,Clients prometteurs,Valeur moyenne,17.3,13.7,0.282,3.87,3,0,0.1206,-0.4512,-0.9278
DEMO_00086,50,7,86.78,16.5,2,Demo Start,1,4,4,144,9,3.4,Client moyen,Ne doit pas les perdre,Forte valeur,17.9,12.4,0.425,5.26,1,0,0.1718,0.5624,-0.5607
DEMO_00087,61,4,17.51,8.4,1,Demo Plus,1,2,1,121,4,1.3,Client à risque,Clients hibernants,Faible valeur,6.5,4.38,0.479,2.1,1,0,0.2936,-1.0005,-0.0655
DEMO_00088,7,9,124.22,55.7,1,Demo Max,5,5,5,555,15,5.0,Champion,Champions,Forte valeur,55.2,13.8,0.162,2.23,0,0,0.1261,1.5384,0.4512
DEMO_00089,22,6,84.6,20.9,1,Demo Start,3,4,4,344,11,3.8,Client fidèle,Clients fidèles,Forte valeur,20.5,14.1,0.287,4.04,2,1,0.1177,1.1636,0.2346
DEMO_00090,70,3,59.35,48.6,4,Demo Plus,1,2,4,124,7,2.8,Client à risque,Clients hibernants,Valeur moyenne,47.5,19.78,0.062,1.22,1,1,0.5106,-0.898,2.0147
DEMO_00091,76,6,191.86,17.0,1,Demo Plus,1,4,5,145,10,3.9,Client moyen,Ne doit pas les perdre,Forte valeur,13.6,31.98,0.352,11.27,1,0,0.3345,-0.1443,-0.5654
DEMO_00092,17,3,11.8,29.8,2,Demo Start,4,2,1,421,7,1.9,Client moyen,Clients prometteurs,Faible valeur,28.4,3.93,0.101,0.4,3,0,0.1948,-1.5122,0.2635
DEMO_00093,54,9,72.5,25.5,1,Demo Connect,1,5,4,154,10,3.7,Client moyen,Ne doit pas les perdre,Forte valeur,28.3,8.06,0.352,2.84,1,0,0.1209,0.2438,0.0966
DEMO_00094,47,2,13.26,7.7,3,Demo Start,1,1,1,111,3,1.0,Client à risque,Clients hibernants,Faible valeur,6.9,6.63,0.26,1.73,1,0,0.2379,-1.9492,-0.5863
DEMO_00095,44,4,43.87,59.8,1,Demo Flex,1,2,3,123,6,2.3,Client à risque,Clients hibernants,Valeur moyenne,59.6,10.97,0.067,0.73,1,0,0.1238,-0.3417,0.6464
DEMO_00096,4,5,50.24,17.4,1,Demo Plus,5,3,3,533,11,3.4,Client fidèle,Clients à risque,Valeur moyenne,17.7,10.05,0.288,2.89,3,0,0.1557,1.2001,-0.3953
DEMO_00097,14,2,17.54,9.8,3,Demo Start,4,1,1,411,6,1.6,Client moyen,Clients prometteurs,Faible valeur,14.2,8.77,0.205,1.8,3,0,0.1361,-1.4861,-0.1952
DEMO_00098,20,7,122.87,33.8,1,Demo Start,3,4,5,345,12,4.3,Client fidèle,Clients fidèles,Forte valeur,33.8,17.55,0.207,3.64,0,0,0.0428,1.1497,0.5431
DEMO_00099,20,8,43.54,22.6,1,Demo Max,3,5,3,353,11,3.6,Client fidèle,Clients fidèles,Valeur moyenne,24.8,5.44,0.354,1.93,2,0,0.0643,0.3144,-0.8021
DEMO_00100,22,10,56.26,28.1,3,Demo Plus,3,5,4,354,12,4.1,Client fidèle,Clients fidèles,Valeur moyenne,26.9,5.63,0.355,2.0,2,0,0.0707,0.6833,-0.4683
DEMO_00101,82,4,22.71,24.1,1,Demo Start,1,2,2,122,5,1.8,Client à risque,Clients hibernants,Faible valeur,23.5,5.68,0.166,0.94,1,1,0.5111,-1.7032,0.496
DEMO_00102,18,4,32.72,3.7,1,Demo Connect,4,2,2,422,8,2.4,Client moyen,Clients prometteurs,Valeur moyenne,3.7,8.18,1.084,8.87,3,0,0.1836,-0.2245,-0.9108
DEMO_00103,31,3,15.22,12.2,1,Demo Plus,2,2,1,221,5,1.5,Client à risque,Clients hibernants,Faible valeur,10.6,5.07,0.246,1.25,3,0,0.1567,-1.8979,-1.0806
DEMO_00104,30,8,77.69,11.8,2,Demo Connect,2,5,4,254,11,3.9,Client moyen,Ne doit pas les perdre,Forte valeur,11.4,9.71,0.675,6.56,2,0,0.1244,0.9161,-0.3446
DEMO_00105,22,10,91.06,39.4,3,Demo Start,3,5,5,355,13,4.6,Client fidèle,Clients fidèles,Forte valeur,41.2,9.11,0.254,2.31,2,0,0.1296,1.1024,0.0785
DEMO_00106,8,7,45.3,23.1,2,Demo Start,5,4,3,543,12,3.7,Client fidèle,Champions,Valeur moyenne,21.5,6.47,0.303,1.96,2,0,0.0526,0.7234,0.2088
DEMO_00107,25,8,129.03,30.8,2,Demo Max,3,5,5,355,13,4.6,Client fidèle,Clients fidèles,Forte valeur,30.8,16.13,0.259,4.18,2,0,0.1376,1.8849,-0.6527
DEMO_00108,2,6,57.92,18.1,1,Demo Plus,5,4,4,544,13,4.2,Champion,Champions,Valeur moyenne,19.5,9.65,0.332,3.2,2,0,0.092,1.0276,-0.4711
DEMO_00109,34,7,125.26,31.8,1,Demo Start,2,4,5,245,11,4.1,Client moyen,Ne doit pas les perdre,Forte valeur,30.1,17.89,0.22,3.94,2,0,0.1277,1.1455,0.346
DEMO_00110,2,5,44.8,20.4,1,Demo Start,5,3,3,533,11,3.4,Client fidèle,Clients à risque,Valeur moyenne,22.6,8.96,0.245,2.19,3,0,0.0921,0.3126,-0.2494
DEMO_00111,31,8,78.74,19.5,1,Demo Start,2,5,4,254,11,3.9,Client moyen,Ne doit pas les perdre,Forte valeur,19.6,9.84,0.411,4.05,2,0,0.1534,0.9252,-1.0826
DEMO_00112,13,5,36.59,25.4,1,Demo Flex,4,3,3,433,10,3.2,Client fidèle,Clients à risque,Valeur moyenne,25.1,7.32,0.197,1.44,3,0,0.1193,0.3152,-1.053
DEMO_00113,9,5,49.68,24.1,2,Demo Plus,5,3,3,533,11,3.4,Client fidèle,Clients à risque,Valeur moyenne,20.0,9.94,0.208,2.07,3,0,0.0515,0.6072,0.6432
DEMO_00114,41,12,177.09,72.0,1,Demo Connect,2,5,5,255,12,4.4,Client moyen,Ne doit pas les perdre,Forte valeur,71.3,14.76,0.167,2.46,1,0,0.1397,2.0252,1.5921
DEMO_00115,16,3,23.86,12.1,1,Demo Start,4,2,2,422,8,2.4,Client moyen,Clients prometteurs,Faible valeur,12.8,7.95,0.248,1.97,3,0,0.1849,-0.5383,0.1278
DEMO_00116,24,3,39.79,7.0,1,Demo Plus,3,2,3,323,8,2.7,Client moyen,Clients à développer,Valeur moyenne,10.5,13.26,0.428,5.68,3,0,0.1754,-0.8028,-0.2144
DEMO_00117,4,1,6.38,27.8,1,Demo Plus,5,1,1,511,7,1.8,Client moyen,Clients prometteurs,Faible valeur,28.9,6.38,0.036,0.23,3,0,0.1167,-2.0031,0.7915
DEMO_00118,64,3,45.43,13.4,1,Demo Max,1,2,3,123,6,2.3,Client à risque,Clients hibernants,Valeur moyenne,15.6,15.14,0.224,3.4,1,0,0.3186,-0.7389,-0.4832
DEMO_00119,26,1,7.25,3.3,1,Demo Connect,3,1,1,311,5,1.4,Client moyen,Clients à développer,Faible valeur,1.0,7.25,0.306,2.22,3,0,0.2524,-1.7634,-0.3869
DEMO_00120,25,3,47.8,10.1,1,Demo Flex,3,2,3,323,8,2.7,Client moyen,Clients à développer,Valeur moyenne,9.9,15.93,0.296,4.71,3,0,0.1617,-0.1928,0.1571
DEMO_00121,34,15,154.72,72.0,1,Demo Start,2,5,5,255,12,4.4,Client moyen,Ne doit pas les perdre,Forte valeur,72.0,10.31,0.208,2.15,2,0,0.0563,3.0825,1.222
DEMO_00122,1,4,92.09,11.9,2,Demo Plus,5,2,5,525,12,4.1,Client moyen,Clients prometteurs,Forte valeur,10.1,23.02,0.337,7.76,0,0,0.1186,1.1285,0.3492
DEMO_00123,68,1,5.29,5.2,3,Demo Flex,1,1,1,111,3,1.0,Client à risque,Clients hibernants,Faible valeur,7.1,5.29,0.194,1.02,1,0,0.2445,-3.1726,-1.1946
DEMO_00124,17,8,35.43,72.0,2,Demo Start,4,5,2,452,11,3.3,Client fidèle,Champions,Valeur moyenne,72.0,4.43,0.111,0.49,2,0,0.0742,0.0812,1.1518
DEMO_00125,66,5,35.54,9.8,2,Demo Max,1,3,2,132,6,2.1,Client moyen,Clients à risque,Valeur moyenne,10.4,7.11,0.508,3.61,1,0,0.2947,-0.3891,-0.2539
DEMO_00126,16,13,60.55,72.0,3,Demo Plus,4,5,4,454,13,4.3,Champion,Champions,Valeur moyenne,71.3,4.66,0.181,0.84,2,0,0.0501,2.0527,1.0134
DEMO_00127,13,4,18.65,17.6,1,Demo Plus,4,2,1,421,7,1.9,Client moyen,Clients prometteurs,Faible valeur,15.6,4.66,0.228,1.06,3,0,0.1165,0.0277,0.676
DEMO_00128,32,13,182.51,59.9,2,Demo Plus,2,5,5,255,12,4.4,Client moyen,Ne doit pas les perdre,Forte valeur,63.5,14.04,0.217,3.05,2,0,0.0741,3.1665,1.4263
DEMO_00129,94,2,19.9,19.2,1,Demo Plus,1,1,1,111,3,1.0,Client à risque,Clients hibernants,Faible valeur,20.4,9.95,0.104,1.04,1,0,0.5718,-2.8381,0.7424
DEMO_00130,54,9,68.95,29.9,1,Demo Connect,1,5,4,154,10,3.7,Client moyen,Ne doit pas les perdre,Forte valeur,30.5,7.66,0.301,2.31,1,0,0.219,0.0879,0.2293
DEMO_00131,35,10,80.62,20.7,1,Demo Max,2,5,4,254,11,3.9,Client moyen,Ne doit pas les perdre,Forte valeur,19.9,8.06,0.483,3.89,2,0,0.1216,0.1754,-1.1045
DEMO_00132,32,3,21.54,19.3,1,Demo Connect,2,2,2,222,6,2.0,Client à risque,Clients hibernants,Faible valeur,19.3,7.18,0.156,1.12,3,0,0.2701,-0.6794,-0.8129
DEMO_00133,24,3,74.17,26.3,2,Demo Flex,3,2,4,324,9,3.2,Client moyen,Clients à développer,Forte valeur,26.7,24.72,0.114,2.82,3,0,0.1454,0.3887,0.9334
DEMO_00134,63,3,19.97,30.5,1,Demo Plus,1,2,1,121,4,1.3,Client à risque,Clients hibernants,Faible valeur,31.3,6.66,0.098,0.65,1,1,0.3526,-1.6179,-0.221
DEMO_00135,42,7,33.74,25.1,2,Demo Max,2,4,2,242,8,2.6,Client moyen,Ne doit pas les perdre,Valeur moyenne,26.6,4.82,0.279,1.34,1,0,0.2921,-0.5874,0.5213
DEMO_00136,5,8,123.63,23.5,3,Demo Plus,5,5,5,555,15,5.0,Champion,Champions,Forte valeur,21.9,15.45,0.341,5.27,0,1,0.1366,1.7384,-0.0636
